,Mean,Standard Deviation,Minimum,Maximum
Actual Flight Time (min),97.69892946396394,44.174456321584685,16.0,479.0
Fuel Consumption (kg),4402.802265712243,2186.444179710471,2313.35168,10832.15148
CO₂ Emissions (kg),13912.855159650688,6909.163607885089,7310.191308799999,34229.5986768
Route Distance (NM),449.28496399052347,321.14341759249214,178.92,1267.09
PBN Implementation Index,0.5364454599701053,0.32931111927855994,0.0,1.0
